7,15,10,1,9,5,14,6,4,8,2,13,12,11,16,3
6,7,8,9,10,15,2,4,12,3,5,16,11,14,13,1
5,3,2,7,6,8,15,11,16,12,4,14,1,9,10,13
13,9,16,6,8,10,1,14,15,2,7,4,3,5,11,12
9,6,3,12,16,14,8,5,13,4,15,10,2,1,7,11
3,8,15,5,11,4,7,16,9,6,13,2,10,12,1,14
8,14,7,4,3,6,5,12,2,1,16,11,13,10,15,9
15,4,9,14,2,16,11,10,3,13,6,1,5,7,12,8
4,2,6,16,7,13,12,8,11,10,1,5,9,3,14,15
14,1,4,3,15,11,10,13,6,5,12,9,8,16,2,7
12,13,5,11,1,3,4,2,10,15,9,7,14,8,6,16
1,11,12,15,13,2,16,7,14,9,10,8,6,4,3,5
11,16,13,10,12,1,3,9,5,14,8,15,7,2,4,6
16,10,11,2,14,9,13,1,8,7,3,12,15,6,5,4
10,12,14,8,5,7,6,15,1,16,11,3,4,13,9,2
2,5,1,13,4,12,9,3,7,11,14,6,16,15,8,10
